"Date","Site.Name","AQS_PARAMETER_DESC","COUNTY","aqiMean","latMean","longMean","Month","Year"
1-12-20,"Clemmons Middle","PM2.5","Forsyth",40,36.026,-80.342,1,2020
1-12-20,"Durham Armory","PM2.5","Durham",31.3333333333333,36.0329550008979,-78.904037,1,2020
1-12-20,"Frying Pan Mountain","Ozone","Haywood",37,35.379167,-82.7925,1,2020
1-12-20,"Frying Pan Mountain","PM2.5","Haywood",13,35.379167,-82.7925,1,2020
1-12-20,"Garinger High School","Ozone","Mecklenburg",30,35.2401000008895,-80.785683,1,2020
1-12-20,"Garinger High School","PM2.5","Mecklenburg",36.75,35.2401000008895,-80.785683,1,2020
1-12-20,"Hattie Avenue","PM2.5","Forsyth",42,36.110693332,-80.2264378,1,2020
1-12-20,"Leggett","PM2.5","Edgecombe",12.5,35.988278,-77.5843,1,2020
1-12-20,"Linville Falls","PM2.5","Avery",26,35.972347,-81.933072,1,2020
1-12-20,"Mendenhall School","PM2.5","Guilford",27.5,36.1090060008986,-79.802314,1,2020
1-12-20,"Millbrook School","Ozone","Wake",32,35.856111,-78.574167,1,2020
1-12-20,"Millbrook School","PM2.5","Wake",33,35.856111,-78.574167,1,2020
1-12-20,"Pitt Agri. Center","PM2.5","Pitt",18.3333333333333,35.6412760008938,-77.360126,1,2020
1-12-20,"West Johnston Co.","Ozone","Johnston",30,35.59095,-78.4622,1,2020
1-12-20,"West Johnston Co.","PM2.5","Johnston",24,35.59095,-78.4622,1,2020
2-01-20,"Bryson City","PM2.5","Swain",56,35.434767,-83.442133,2,2020
2-01-20,"Castle Hayne","PM2.5","New Hanover",14,34.364167,-77.838611,2,2020
2-01-20,"Clemmons Middle","PM2.5","Forsyth",55,36.026,-80.342,2,2020
2-01-20,"Durham Armory","Ozone","Durham",34,36.0329550008979,-78.904037,2,2020
2-01-20,"Durham Armory","PM2.5","Durham",41,36.0329550008979,-78.904037,2,2020
2-01-20,"Frying Pan Mountain","Ozone","Haywood",44,35.379167,-82.7925,2,2020
2-01-20,"Frying Pan Mountain","PM2.5","Haywood",12,35.379167,-82.7925,2,2020
2-01-20,"Garinger High School","Ozone","Mecklenburg",36,35.2401000008895,-80.785683,2,2020
2-01-20,"Garinger High School","PM2.5","Mecklenburg",38.5,35.2401000008895,-80.785683,2,2020
2-01-20,"Hattie Avenue","PM2.5","Forsyth",42.5,36.110693332,-80.2264378,2,2020
2-01-20,"Leggett","Ozone","Edgecombe",38,35.988278,-77.5843,2,2020
2-01-20,"Leggett","PM2.5","Edgecombe",24,35.988278,-77.5843,2,2020
2-01-20,"Linville Falls","PM2.5","Avery",24,35.972347,-81.933072,2,2020
2-01-20,"Mendenhall School","PM2.5","Guilford",45,36.1090060008986,-79.802314,2,2020
2-01-20,"Millbrook School","Ozone","Wake",37.5,35.856111,-78.574167,2,2020
2-01-20,"Millbrook School","PM2.5","Wake",38.25,35.856111,-78.574167,2,2020
2-01-20,"Pitt Agri. Center","PM2.5","Pitt",24,35.6412760008938,-77.360126,2,2020
2-01-20,"West Johnston Co.","Ozone","Johnston",40,35.59095,-78.4622,2,2020
2-01-20,"West Johnston Co.","PM2.5","Johnston",38.5,35.59095,-78.4622,2,2020
2-02-20,"Bryson City","PM2.5","Swain",30,35.434767,-83.442133,2,2020
2-02-20,"Castle Hayne","PM2.5","New Hanover",20,34.364167,-77.838611,2,2020
2-02-20,"Clemmons Middle","PM2.5","Forsyth",38,36.026,-80.342,2,2020
2-02-20,"Durham Armory","Ozone","Durham",26,36.0329550008979,-78.904037,2,2020
2-02-20,"Durham Armory","PM2.5","Durham",42.6666666666667,36.0329550008979,-78.904037,2,2020
2-02-20,"Frying Pan Mountain","Ozone","Haywood",47,35.379167,-82.7925,2,2020
2-02-20,"Frying Pan Mountain","PM2.5","Haywood",9,35.379167,-82.7925,2,2020
2-02-20,"Garinger High School","Ozone","Mecklenburg",38,35.2401000008895,-80.785683,2,2020
2-02-20,"Garinger High School","PM2.5","Mecklenburg",44,35.2401000008895,-80.785683,2,2020
2-02-20,"Hattie Avenue","PM2.5","Forsyth",41.3333333333333,36.110693332,-80.2264378,2,2020
2-02-20,"Leggett","Ozone","Edgecombe",30,35.988278,-77.5843,2,2020
2-02-20,"Leggett","PM2.5","Edgecombe",26,35.988278,-77.5843,2,2020
2-02-20,"Linville Falls","PM2.5","Avery",14,35.972347,-81.933072,2,2020
2-02-20,"Mendenhall School","PM2.5","Guilford",32.5,36.1090060008986,-79.802314,2,2020
2-02-20,"Millbrook School","Ozone","Wake",31.5,35.856111,-78.574167,2,2020
2-02-20,"Millbrook School","PM2.5","Wake",52.25,35.856111,-78.574167,2,2020
2-02-20,"Pitt Agri. Center","PM2.5","Pitt",40.5,35.6412760008938,-77.360126,2,2020
2-02-20,"West Johnston Co.","Ozone","Johnston",34,35.59095,-78.4622,2,2020
2-02-20,"West Johnston Co.","PM2.5","Johnston",35,35.59095,-78.4622,2,2020
2-03-20,"Bryson City","PM2.5","Swain",40,35.434767,-83.442133,2,2020
2-03-20,"Castle Hayne","PM2.5","New Hanover",8,34.364167,-77.838611,2,2020
2-03-20,"Clemmons Middle","PM2.5","Forsyth",57.5,36.026,-80.342,2,2020
2-03-20,"Durham Armory","Ozone","Durham",19,36.0329550008979,-78.904037,2,2020
2-03-20,"Durham Armory","PM2.5","Durham",48.5,36.0329550008979,-78.904037,2,2020
2-03-20,"Frying Pan Mountain","Ozone","Haywood",46,35.379167,-82.7925,2,2020
2-03-20,"Garinger High School","Ozone","Mecklenburg",37.5,35.2401000008895,-80.785683,2,2020
2-03-20,"Garinger High School","PM2.5","Mecklenburg",46.6666666666667,35.2401000008895,-80.785683,2,2020
2-03-20,"Hattie Avenue","PM2.5","Forsyth",44.5,36.110693332,-80.2264378,2,2020
2-03-20,"Leggett","Ozone","Edgecombe",32,35.988278,-77.5843,2,2020
2-03-20,"Leggett","PM2.5","Edgecombe",24.5,35.988278,-77.5843,2,2020
2-03-20,"Mendenhall School","PM2.5","Guilford",46.5,36.1090060008986,-79.802314,2,2020
2-03-20,"Millbrook School","Ozone","Wake",31.5,35.856111,-78.574167,2,2020
2-03-20,"Millbrook School","PM2.5","Wake",55.6666666666667,35.856111,-78.574167,2,2020
2-03-20,"Pitt Agri. Center","PM2.5","Pitt",35,35.6412760008938,-77.360126,2,2020
2-03-20,"West Johnston Co.","Ozone","Johnston",38,35.59095,-78.4622,2,2020
2-03-20,"West Johnston Co.","PM2.5","Johnston",39.5,35.59095,-78.4622,2,2020
2-04-20,"Bryson City","PM2.5","Swain",45.5,35.434767,-83.442133,2,2020
2-04-20,"Castle Hayne","PM2.5","New Hanover",12,34.364167,-77.838611,2,2020
2-04-20,"Clemmons Middle","PM2.5","Forsyth",50,36.026,-80.342,2,2020
2-04-20,"Durham Armory","Ozone","Durham",39,36.0329550008979,-78.904037,2,2020
2-04-20,"Durham Armory","PM2.5","Durham",39.3333333333333,36.0329550008979,-78.904037,2,2020
2-04-20,"Frying Pan Mountain","Ozone","Haywood",44,35.379167,-82.7925,2,2020
2-04-20,"Frying Pan Mountain","PM2.5","Haywood",2,35.379167,-82.7925,2,2020
2-04-20,"Garinger High School","Ozone","Mecklenburg",30,35.2401000008895,-80.785683,2,2020
2-04-20,"Garinger High School","PM2.5","Mecklenburg",46.75,35.2401000008895,-80.785683,2,2020
2-04-20,"Hattie Avenue","PM2.5","Forsyth",39.5,36.110693332,-80.2264378,2,2020
2-04-20,"Leggett","Ozone","Edgecombe",43,35.988278,-77.5843,2,2020
2-04-20,"Leggett","PM2.5","Edgecombe",28,35.988278,-77.5843,2,2020
2-04-20,"Linville Falls","PM2.5","Avery",5,35.972347,-81.933072,2,2020
2-04-20,"Mendenhall School","PM2.5","Guilford",41.5,36.1090060008986,-79.802314,2,2020
2-04-20,"Millbrook School","Ozone","Wake",37,35.856111,-78.574167,2,2020
2-04-20,"Millbrook School","PM2.5","Wake",40.75,35.856111,-78.574167,2,2020
2-04-20,"Pitt Agri. Center","PM2.5","Pitt",17,35.6412760008938,-77.360126,2,2020
2-04-20,"West Johnston Co.","Ozone","Johnston",43,35.59095,-78.4622,2,2020
2-04-20,"West Johnston Co.","PM2.5","Johnston",29,35.59095,-78.4622,2,2020
2-05-20,"Bryson City","PM2.5","Swain",40.5,35.434767,-83.442133,2,2020
2-05-20,"Castle Hayne","PM2.5","New Hanover",26.5,34.364167,-77.838611,2,2020
2-05-20,"Clemmons Middle","PM2.5","Forsyth",38,36.026,-80.342,2,2020
2-05-20,"Durham Armory","Ozone","Durham",31,36.0329550008979,-78.904037,2,2020
2-05-20,"Durham Armory","PM2.5","Durham",42,36.0329550008979,-78.904037,2,2020
2-05-20,"Frying Pan Mountain","Ozone","Haywood",37,35.379167,-82.7925,2,2020
2-05-20,"Frying Pan Mountain","PM2.5","Haywood",17,35.379167,-82.7925,2,2020
2-05-20,"Garinger High School","Ozone","Mecklenburg",31.5,35.2401000008895,-80.785683,2,2020
2-05-20,"Garinger High School","PM2.5","Mecklenburg",37.25,35.2401000008895,-80.785683,2,2020
2-05-20,"Hattie Avenue","PM2.5","Forsyth",33.3333333333333,36.110693332,-80.2264378,2,2020
2-05-20,"Leggett","Ozone","Edgecombe",37,35.988278,-77.5843,2,2020
2-05-20,"Leggett","PM2.5","Edgecombe",20,35.988278,-77.5843,2,2020
2-05-20,"Linville Falls","PM2.5","Avery",20,35.972347,-81.933072,2,2020
2-05-20,"Mendenhall School","PM2.5","Guilford",34,36.1090060008986,-79.802314,2,2020
2-05-20,"Millbrook School","Ozone","Wake",31.5,35.856111,-78.574167,2,2020
2-05-20,"Millbrook School","PM2.5","Wake",47,35.856111,-78.574167,2,2020
2-05-20,"Pitt Agri. Center","PM2.5","Pitt",32,35.6412760008938,-77.360126,2,2020
2-05-20,"West Johnston Co.","Ozone","Johnston",38,35.59095,-78.4622,2,2020
2-05-20,"West Johnston Co.","PM2.5","Johnston",32,35.59095,-78.4622,2,2020
2-06-20,"Bryson City","PM2.5","Swain",60.5,35.434767,-83.442133,2,2020
2-06-20,"Castle Hayne","PM2.5","New Hanover",28.5,34.364167,-77.838611,2,2020
2-06-20,"Clemmons Middle","PM2.5","Forsyth",37.5,36.026,-80.342,2,2020
2-06-20,"Durham Armory","Ozone","Durham",33,36.0329550008979,-78.904037,2,2020
2-06-20,"Durham Armory","PM2.5","Durham",51,36.0329550008979,-78.904037,2,2020
2-06-20,"Frying Pan Mountain","Ozone","Haywood",36,35.379167,-82.7925,2,2020
2-06-20,"Garinger High School","Ozone","Mecklenburg",22.5,35.2401000008895,-80.785683,2,2020
2-06-20,"Garinger High School","PM2.5","Mecklenburg",40.6666666666667,35.2401000008895,-80.785683,2,2020
2-06-20,"Hattie Avenue","PM2.5","Forsyth",37,36.110693332,-80.2264378,2,2020
2-06-20,"Leggett","Ozone","Edgecombe",39,35.988278,-77.5843,2,2020
2-06-20,"Leggett","PM2.5","Edgecombe",36,35.988278,-77.5843,2,2020
2-06-20,"Mendenhall School","PM2.5","Guilford",38,36.1090060008986,-79.802314,2,2020
